========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:19:32.833Z] GET /api/media?status=1
[2026-08-06T20:19:32.853Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.856Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.857Z] GET /api/media?status=1
[2026-08-06T20:19:32.859Z] GET /api/media?status=1
[2026-08-06T20:19:32.861Z] GET /api/media?status=1
[2026-08-06T20:19:32.863Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.864Z] GET /api/media?status=1
[2026-08-06T20:19:32.865Z] GET /api/media?status=1
[2026-08-06T20:19:32.867Z] GET /api/media?status=1
[2026-08-06T20:19:32.869Z] GET /api/media?status=1
[2026-08-06T20:19:32.870Z] GET /api/media?status=1
[2026-08-06T20:19:32.872Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.890Z] GET /api/media?status=1
[2026-08-06T20:19:32.892Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.902Z] GET /api/media?status=1
[2026-08-06T20:19:32.903Z] GET /api/media?status=1
[2026-08-06T20:19:32.904Z] GET /api/media?status=1
[2026-08-06T20:19:32.906Z] GET /api/media?status=1
[2026-08-06T20:19:32.907Z] GET /api/media?status=1
[2026-08-06T20:19:32.908Z] GET /api/media?status=1
[2026-08-06T20:19:32.909Z] GET /api/media?status=1
[2026-08-06T20:19:32.910Z] GET /api/media?status=1
[2026-08-06T20:19:32.911Z] GET /api/media?status=1
[2026-08-06T20:19:32.912Z] GET /api/media?status=1
[2026-08-06T20:19:32.913Z] GET /api/media?status=1
[2026-08-06T20:19:32.915Z] GET /api/media?status=1
[2026-08-06T20:19:32.916Z] GET /api/media?status=1
[2026-08-06T20:19:32.917Z] GET /api/media?status=1
[2026-08-06T20:19:32.918Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.919Z] GET /api/media?status=1
[2026-08-06T20:19:32.920Z] GET /api/media?status=1
[2026-08-06T20:19:32.924Z] GET /api/media?status=1
[2026-08-06T20:19:32.925Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.932Z] GET /api/media?status=1
[2026-08-06T20:19:32.934Z] GET /api/media?status=1
[2026-08-06T20:19:32.936Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.937Z] GET /api/media?status=1
[2026-08-06T20:19:32.943Z] POST /api/intel/osint_intel
[2026-08-06T20:19:32.943Z] GET /api/media?status=1
